id,Client Sent,Server Recived,Model runtime,Server sent,Client Recived
17,2024-05-17 13:56:15.899860,2024-05-17 13:56:15.900531,0.03298830986022949,2024-05-17 13:56:15.938740,2024-05-17 13:56:15.900370
18,2024-05-17 13:56:15.949822,2024-05-17 13:56:15.950451,0.03161191940307617,2024-05-17 13:56:15.987166,2024-05-17 13:56:15.950213
19,2024-05-17 13:56:16.140413,2024-05-17 13:56:16.141115,0.03313040733337402,2024-05-17 13:56:16.179303,2024-05-17 13:56:16.140938
20,2024-05-17 13:56:16.222416,2024-05-17 13:56:16.223157,0.03267025947570801,2024-05-17 13:56:16.261372,2024-05-17 13:56:16.222907
21,2024-05-17 13:56:16.385203,2024-05-17 13:56:16.385907,0.032654523849487305,2024-05-17 13:56:16.425129,2024-05-17 13:56:16.385702
22,2024-05-17 13:56:16.461789,2024-05-17 13:56:16.462532,0.033234596252441406,2024-05-17 13:56:16.501750,2024-05-17 13:56:16.462285
23,2024-05-17 13:56:16.513662,2024-05-17 13:56:16.514376,0.032488107681274414,2024-05-17 13:56:16.552838,2024-05-17 13:56:16.514290
24,2024-05-17 13:56:16.944724,2024-05-17 13:56:16.945559,0.032851457595825195,2024-05-17 13:56:16.984263,2024-05-17 13:56:16.945251
25,2024-05-17 13:56:17.664422,2024-05-17 13:56:17.665258,0.035529136657714844,2024-05-17 13:56:17.706411,2024-05-17 13:56:17.664972
26,2024-05-17 13:56:17.718143,2024-05-17 13:56:17.718880,0.033081769943237305,2024-05-17 13:56:17.757758,2024-05-17 13:56:17.718627
27,2024-05-17 13:56:17.821017,2024-05-17 13:56:17.821879,0.03179931640625,2024-05-17 13:56:17.859484,2024-05-17 13:56:17.821704
28,2024-05-17 13:56:17.905834,2024-05-17 13:56:17.906570,0.03237724304199219,2024-05-17 13:56:17.944489,2024-05-17 13:56:17.906328
29,2024-05-17 13:56:18.020690,2024-05-17 13:56:18.021521,0.03246259689331055,2024-05-17 13:56:18.059791,2024-05-17 13:56:18.021224
30,2024-05-17 13:56:18.145767,2024-05-17 13:56:18.146516,0.033889055252075195,2024-05-17 13:56:18.185831,2024-05-17 13:56:18.146315
31,2024-05-17 13:56:18.221065,2024-05-17 13:56:18.221820,0.03316235542297363,2024-05-17 13:56:18.260369,2024-05-17 13:56:18.221428
32,2024-05-17 13:56:18.272525,2024-05-17 13:56:18.273076,0.033403635025024414,2024-05-17 13:56:18.311896,2024-05-17 13:56:18.272916
33,2024-05-17 13:56:18.324148,2024-05-17 13:56:18.324963,0.03232693672180176,2024-05-17 13:56:18.363380,2024-05-17 13:56:18.324644
34,2024-05-17 13:56:18.375720,2024-05-17 13:56:18.376536,0.033747196197509766,2024-05-17 13:56:18.415786,2024-05-17 13:56:18.376328
35,2024-05-17 13:56:18.428002,2024-05-17 13:56:18.428564,0.025870084762573242,2024-05-17 13:56:18.459805,2024-05-17 13:56:18.428392
36,2024-05-17 13:56:18.471369,2024-05-17 13:56:18.471950,0.026163816452026367,2024-05-17 13:56:18.503936,2024-05-17 13:56:18.471804
37,2024-05-17 13:56:18.516366,2024-05-17 13:56:18.516945,0.030411720275878906,2024-05-17 13:56:18.552918,2024-05-17 13:56:18.516780
38,2024-05-17 13:56:18.941155,2024-05-17 13:56:18.941949,0.031922101974487305,2024-05-17 13:56:18.979357,2024-05-17 13:56:18.941693
39,2024-05-17 13:56:19.185537,2024-05-17 13:56:19.186389,0.03455924987792969,2024-05-17 13:56:19.226782,2024-05-17 13:56:19.186148
40,2024-05-17 13:56:19.301015,2024-05-17 13:56:19.301709,0.030131816864013672,2024-05-17 13:56:19.337660,2024-05-17 13:56:19.301406
41,2024-05-17 13:56:19.381480,2024-05-17 13:56:19.382277,0.030987262725830078,2024-05-17 13:56:19.419229,2024-05-17 13:56:19.381949
42,2024-05-17 13:56:19.461056,2024-05-17 13:56:19.461690,0.031235456466674805,2024-05-17 13:56:19.498809,2024-05-17 13:56:19.461443
43,2024-05-17 13:56:19.585803,2024-05-17 13:56:19.586573,0.032438039779663086,2024-05-17 13:56:19.625040,2024-05-17 13:56:19.586353
44,2024-05-17 13:56:19.786213,2024-05-17 13:56:19.787123,0.03270077705383301,2024-05-17 13:56:19.826086,2024-05-17 13:56:19.786916
45,2024-05-17 13:56:19.839355,2024-05-17 13:56:19.839983,0.031770944595336914,2024-05-17 13:56:19.878320,2024-05-17 13:56:19.839783
46,2024-05-17 13:56:19.982146,2024-05-17 13:56:19.982935,0.03408360481262207,2024-05-17 13:56:20.023450,2024-05-17 13:56:19.982681
47,2024-05-17 13:56:20.038422,2024-05-17 13:56:20.039074,0.03261375427246094,2024-05-17 13:56:20.078117,2024-05-17 13:56:20.038850
48,2024-05-17 13:56:20.091427,2024-05-17 13:56:20.092219,0.030371665954589844,2024-05-17 13:56:20.128962,2024-05-17 13:56:20.091981
49,2024-05-17 13:56:20.142867,2024-05-17 13:56:20.143544,0.03312945365905762,2024-05-17 13:56:20.182976,2024-05-17 13:56:20.143288
50,2024-05-17 13:56:20.196896,2024-05-17 13:56:20.197485,0.03322887420654297,2024-05-17 13:56:20.236998,2024-05-17 13:56:20.197218
51,2024-05-17 13:56:20.249768,2024-05-17 13:56:20.250417,0.030431270599365234,2024-05-17 13:56:20.287253,2024-05-17 13:56:20.250214
52,2024-05-17 13:56:20.302940,2024-05-17 13:56:20.303777,0.031169652938842773,2024-05-17 13:56:20.341262,2024-05-17 13:56:20.303482
53,2024-05-17 13:56:20.541394,2024-05-17 13:56:20.542321,0.03182578086853027,2024-05-17 13:56:20.580423,2024-05-17 13:56:20.541960
54,2024-05-17 13:56:20.622340,2024-05-17 13:56:20.623138,0.030848026275634766,2024-05-17 13:56:20.660179,2024-05-17 13:56:20.622912
55,2024-05-17 13:56:20.821481,2024-05-17 13:56:20.822359,0.031219005584716797,2024-05-17 13:56:20.859941,2024-05-17 13:56:20.822106
56,2024-05-17 13:56:21.021411,2024-05-17 13:56:21.022150,0.03151202201843262,2024-05-17 13:56:21.059976,2024-05-17 13:56:21.021993
